Source,Target,Type,Weight
83615933,281438084,Undirected,1
83615933,134683662,Undirected,1
83615933,362152763,Undirected,1
83615933,63920819,Undirected,1
83615933,88159962,Undirected,1
83615933,167297801,Undirected,2
83615933,436088893,Undirected,2
83615933,75860767,Undirected,2
83615933,108081621,Undirected,2
83615933,59524231,Undirected,2
83615933,137767055,Undirected,2
83615933,115485410,Undirected,1
83615933,409542040,Undirected,1
83615933,234682235,Undirected,1
83615933,48155627,Undirected,1
83615933,93941222,Undirected,1
83615933,146059023,Undirected,2
83615933,442322355,Undirected,1
83615933,74236740,Undirected,1
83615933,149643661,Undirected,1
83615933,156561485,Undirected,1
83615933,74478509,Undirected,1
83615933,32480337,Undirected,1
83615933,171506923,Undirected,1
83615933,158678794,Undirected,1
83615933,175008088,Undirected,1
83615933,165639937,Undirected,1
83615933,161703995,Undirected,1
83615933,85771742,Undirected,1
83615933,424940572,Undirected,1
83615933,189831574,Undirected,1
83615933,396488686,Undirected,1
83615933,227199219,Undirected,1
83615933,59648143,Undirected,1
83615933,137062437,Undirected,1
83615933,216812246,Undirected,1
83615933,49016796,Undirected,1
83615933,157008307,Undirected,1
83615933,46219262,Undirected,1
83615933,203132937,Undirected,1
83615933,268946432,Undirected,1
83615933,158764601,Undirected,1
83615933,234644087,Undirected,1
83615933,98958576,Undirected,1
83615933,109642309,Undirected,1
83615933,142281325,Undirected,1
83615933,299237786,Undirected,1
83615933,384883105,Undirected,1
83615933,170996642,Undirected,1
83615933,207149519,Undirected,1
83615933,50699337,Undirected,1
83615933,199149995,Undirected,1
83615933,164831583,Undirected,1
83615933,146525754,Undirected,1
83615933,136674390,Undirected,1
83615933,126058748,Undirected,1
83615933,49811617,Undirected,1
83615933,296699995,Undirected,1
83615933,318338459,Undirected,1
83615933,418272561,Undirected,1
83615933,60787187,Undirected,1
83615933,372234714,Undirected,1
83615933,87579565,Undirected,1
83615933,72604822,Undirected,1
83615933,396642281,Undirected,1
83615933,194634126,Undirected,1
83615933,113888725,Undirected,1
83615933,186961765,Undirected,1
