Id,mmr
83615933,3061
112965850,2278
71864965,3056
245920071,1070
174616480,3220
170321354,2002
102240858,0
297625057,3001
71006164,3107
179381057,0
132415110,0
44967732,3247
138707765,3362
344839250,2543
102309164,2928
394415595,3175
340374222,3449
189277280,3075
112332127,0
37948326,4168
173618719,3378
74197456,3562
10300373,3829
156115328,4383
99058196,2320
58688470,3678
46333111,2194
114958061,3682
347722452,3022
408160746,2869
205465501,3133
112505012,0
302287350,0
77953625,0
402808113,2982
198551817,2977
142132784,2877
113109569,0
133182599,0
371282011,0
260144297,2953
136457641,2956
68203841,2999
289231280,2936
208367943,3327
38390617,0
174749662,2956
42753289,2879
8663167,0
170509326,2909
162184818,3039
241743534,3408
173167333,0
142032925,2921
180741084,0
273898080,0
85629046,0
79602929,3149
77114754,3970
63748708,3753
213187641,0
170177193,0
152552303,0
183461185,0
61682632,3072
127299042,3029
260814912,0
67167968,0
174017230,0
132879974,2442
197824522,2904
112359351,2843
196285648,2931
375492473,0
12735095,2817
107112564,2695
191902624,2853
169943981,3015
111646949,0
131017245,2536
228046657,2711
182106716,2806
169511406,3518
83503427,2490
115597241,3028
284139226,3172
80269553,0
50536772,0
42062733,2963
82902776,3000
91168350,2893
373813173,3203
93237455,0
145811692,0
103212974,3124
350432767,2949
74719711,2998
166355510,3043
31348074,0
80950682,0
103123262,0
194139056,2807
211008343,3105
40538365,0
216272982,0
146827468,3188
198655971,0
35143901,0
135802183,3175
9237453,2600
125680679,3011
30239709,3039
176323282,3024
373656100,0
82037740,0
127741450,0
93642987,3244
314264248,3242
246494217,3250
57839307,3597
14948056,3854
28737012,3242
50270981,2608
116200402,2324
57827426,3060
115367684,0
91377034,3349
155953935,2928
323935422,0
392374673,3579
126971369,4307
121897729,4039
250513744,2682
86866708,0
77919721,0
84271991,2985
184694630,3156
202554718,3023
122345704,0
172686926,3904
186373147,2986
360801866,3121
151137708,0
439286970,0
451651840,3137
24566513,0
64737681,0
362347435,0
86777066,3157
132403217,3152
145535422,3153
280534762,2820
420088832,0
130680095,0
138000827,0
133328344,3054
107166211,3437
41390269,0
75497850,2934
87090373,3069
51904833,2983
109041146,3264
424819520,3282
20703895,3056
413629200,3240
122872260,3091
158626280,3316
